pos,Property Name,Price,HouseType,Areainsqft,NoofBedrooms,NoofBathrooms,NoofReceptions,Location,City/County,PostalCode,lat,long,n_pois,distance_to_london,District_x,NCrime,DisToHospital,DisToSubway,DisToShool,HouseTypeLabel,Postcode,District_y,PostalCodeLabel
31.0,Fernside Road,1200000.0,House,1494.0,4.0,4.0,4.0,,London,SW12 8LJ,51.44602,-0.159813,677.0,7.671852307218761,Wandsworth,27388.0,2.128052944639022,1.0913894003249098,1.9827599637283948,3,SW12 8LJ,Wandsworth,125585
719.0,Fernside Road,1350000.0,House,1805.0,4.0,4.0,4.0,,London,SW12 8LJ,51.44602,-0.159813,1220.0,7.671852307218761,Wandsworth,27388.0,2.128052944639022,1.0913894003249098,1.9827599637283948,3,SW12 8LJ,Wandsworth,125585
32.0,Telford Avenue,1250000.0,House,1507.0,4.0,4.0,4.0,,London,SW2 4XF,51.44192,-0.129785,659.0,7.6029104500903,Lambeth,36982.0,3.4159507132309805,1.725695563342981,3.1016389836591656,3,SW2 4XF,Lambeth,136490
33.0,Telford Avenue,695000.0,Flat / Apartment,945.0,3.0,3.0,3.0,,London,SW2 4XQ,51.441451,-0.134236,685.0,7.693760915923159,Lambeth,36982.0,3.120815368935171,1.5543578141901429,3.408292801259248,2,SW2 4XQ,Lambeth,136497
34.0,Stile Hall Gardens,1735000.0,House,2118.0,4.0,4.0,4.0,Chiswick,London,W4 3BS,51.489456,-0.284574,773.0,11.781562017693608,Hounslow,28088.0,3.29019764541459,0.8232730780259737,1.5634497896266928,3,W4 3BS,Hounslow,172585
35.0,Wavendon Avenue,2350000.0,House,2297.0,5.0,5.0,5.0,Chiswick,London,W4 4NR,51.48928,-0.264689,2543.0,10.434311384501378,Hounslow,28088.0,3.0250916761576763,1.8340966985708904,0.9372277322143288,3,W4 4NR,Hounslow,172907
1207.0,Wavendon Avenue,2250000.0,House,2389.0,5.0,5.0,5.0,Chiswick,London,W4 4NR,51.48928,-0.264689,809.0,10.434311384501378,Hounslow,28088.0,3.0250916761576763,1.8340966985708904,0.9372277322143288,3,W4 4NR,Hounslow,172907
36.0,Duke Road,1200000.0,House,1351.0,4.0,4.0,4.0,Chiswick,London,W4 2BA,51.491513,-0.259404,677.0,10.022806136412964,Hounslow,28088.0,2.696064831287865,1.6598593405514792,0.9346878673179702,3,W4 2BA,Hounslow,172349
37.0,Hobury Street,975000.0,Flat / Apartment,749.0,2.0,2.0,2.0,,London,SW10 0JB,51.483297,-0.17961,1469.0,5.195063324582401,Kensington and Chelsea,25843.0,0.2271162357096552,1.2602840090632552,0.911006501778916,2,SW10 0JB,Kensington and Chelsea,123499
38.0,Maltings Close,850000.0,House,1177.0,3.0,3.0,3.0,Barnes,London,SW13 0NL,51.472642,-0.252404,1512.0,10.20643057013985,Richmond upon Thames,13431.0,2.677655123821853,2.6514924121791603,0.8401432153739626,3,SW13 0NL,Richmond upon Thames,126019
39.0,Munster Road,1599950.0,House,1884.0,4.0,4.0,4.0,Fulham,London,SW6 5RF,51.475265,-0.208716,1891.0,7.377886859141866,Hammersmith and Fulham,24060.0,1.5265591760770485,0.8046801074648351,1.5815143839932446,3,SW6 5RF,Hammersmith and Fulham,140358
40.0,Khyber Road,925000.0,Flat / Apartment,1321.0,2.0,2.0,2.0,,London,SW11 2PZ,51.469218,-0.170034,2439.0,5.785034876021981,Wandsworth,27388.0,0.583902550013177,2.4069573965392763,0.9263749334674652,2,SW11 2PZ,Wandsworth,124191
41.0,Coles Court,650000.0,Flat / Apartment,869.0,3.0,3.0,3.0,,Battersea,SW11 3DU,51.473189,-0.172683,1911.0,5.570104695264018,Wandsworth,27388.0,1.037746728158779,2.329047390754812,0.5123783831485826,2,SW11 3DU,Wandsworth,124311
42.0,Prince Of Wales Mansions,550000.0,Flat / Apartment,670.0,1.0,1.0,1.0,,London,SW11 4BG,51.477166,-0.149872,2035.0,4.25518432402038,Wandsworth,27388.0,1.8359017514678224,1.742197597608181,1.1654411696971287,2,SW11 4BG,Wandsworth,124536
697.0,Prince of Wales Mansions,699950.0,Flat / Apartment,816.0,2.0,2.0,2.0,Prince of Wales Drive,London,SW11 4BG,51.477166,-0.149872,794.0,4.25518432402038,Wandsworth,27388.0,1.8359017514678224,1.742197597608181,1.1654411696971287,2,SW11 4BG,Wandsworth,124536
43.0,Old Battersea House,9975000.0,House,10100.0,10.0,10.0,10.0, Battersea,London,SW11 3LD,51.474315,-0.176156,2461.0,5.648565541853259,Wandsworth,27388.0,1.2187155374266263,2.2092148361745747,0.5437339494872343,3,SW11 3LD,Wandsworth,124385
44.0,Kersley Street,1850000.0,House,1910.0,5.0,5.0,5.0,,London,SW11 4PT,51.472794,-0.164089,1246.0,5.216973003922592,Wandsworth,27388.0,1.0740035140499338,2.227970409134139,0.6813118410499782,3,SW11 4PT,Wandsworth,124655
2683.0,Kersley Street,1950000.0,House,2090.0,4.0,4.0,4.0,,London,SW11 4PT,51.472794,-0.164089,1726.0,5.216973003922592,Wandsworth,27388.0,1.0740035140499338,2.227970409134139,0.6813118410499782,3,SW11 4PT,Wandsworth,124655
45.0,Battersea Bridge Road,525000.0,New development,590.0,1.0,1.0,1.0,,London,SW11 3AU,51.478204,-0.169535,7183.0,5.017207225994188,Wandsworth,27388.0,0.9503249571643372,1.793608000147391,0.0899289450239771,5,SW11 3AU,Wandsworth,124276
46.0,Larkhall Rise,2200000.0,House,2239.0,4.0,4.0,4.0,,London,SW4 6HS,51.468035,-0.137183,1893.0,4.83912647796248,Lambeth,36982.0,2.3501456463051227,1.115237494852902,2.2278165310330835,3,SW4 6HS,Lambeth,138401
48.0,Carlisle Mansions,1999999.0,Flat / Apartment,1608.0,3.0,3.0,3.0, Victoria,London,SW1P 1EZ,51.494861,-0.14008,7337.0,2.2622247869429826,Westminster,77772.0,1.5566140913201816,0.303615876966096,1.016893564318201,2,SW1P 1EZ,Westminster,133444
49.0,Park Close,725000.0,House,884.0,3.0,3.0,3.0,South Hackney,London,E9 7LF,51.537888,-0.04862,627.0,5.741857619923989,Hackney,35196.0,0.6485785400450721,1.7688644760928434,1.782056861907498,3,E9 7LF,Hackney,33574
50.0,Century Court,1750000.0,Flat / Apartment,1232.0,2.0,2.0,2.0,Grove End Road,London,NW8 9LD,51.527983,-0.174008,701.0,4.373474527150482,Westminster,77772.0,0.3600224649630236,0.7557812091634387,1.3373113600445978,2,NW8 9LD,Westminster,90260
51.0,Eaton Square,5250000.0,Flat / Apartment,2299.0,3.0,3.0,3.0,,London,SW1W 9DF,51.495764,-0.150546,2334.0,2.7458097167152444,Westminster,77772.0,1.5827934665754706,0.3482938796165457,0.9112875109048844,2,SW1W 9DF,Westminster,134968
1038.0,Eaton Square,2950000.0,Flat / Apartment,1181.0,2.0,2.0,2.0,Belgravia,London,SW1W 9DF,51.495764,-0.150546,342.0,2.7458097167152444,Westminster,77772.0,1.5827934665754706,0.3482938796165457,0.9112875109048844,2,SW1W 9DF,Westminster,134968
1143.0,Eaton Square,3250000.0,Flat / Apartment,1509.0,1.0,1.0,1.0,Belgravia,London,SW1W 9DF,51.495764,-0.150546,3857.0,2.7458097167152444,Westminster,77772.0,1.5827934665754706,0.3482938796165457,0.9112875109048844,2,SW1W 9DF,Westminster,134968
53.0,"The oTTo, Hackney",490000.0,New development,570.0,1.0,1.0,1.0, Downs Road,Clapton,E5 8DS,51.555891,-0.057719,809.0,6.616098721069052,Hackney,35196.0,1.044047582212409,3.225294234686614,0.6617922882144114,5,E5 8DS,Hackney,30459
131.0,The oTTo,785000.0,New development,1173.0,2.0,2.0,2.0, The Otto Buildings,Downs Road,E5 8DS,51.555891,-0.057719,918.0,6.616098721069052,Hackney,35196.0,1.044047582212409,3.225294234686614,0.6617922882144114,5,E5 8DS,Hackney,30459
193.0,"The oTTo, Hackney",800000.0,New development,1119.0,2.0,2.0,2.0, Clapton,E5 8DE,E5 8DS,51.555891,-0.057719,843.0,6.616098721069052,Hackney,35196.0,1.044047582212409,3.225294234686614,0.6617922882144114,5,E5 8DS,Hackney,30459
1481.0,"The oTTo, Hackney",995000.0,New development,1561.0,3.0,3.0,3.0, Clapton,E5 8DE,E5 8DS,51.555891,-0.057719,268.0,6.616098721069052,Hackney,35196.0,1.044047582212409,3.225294234686614,0.6617922882144114,5,E5 8DS,Hackney,30459
54.0,Francis House,3350000.0,Penthouse,2185.0,3.0,3.0,3.0,Coleridge Gardens,London,SW10 0RP,51.48049,-0.187125,2023.0,5.802188286014517,Kensington and Chelsea,25843.0,0.597327881596909,1.2658683945325273,1.180198712136154,6,SW10 0RP,Kensington and Chelsea,123583
55.0,Wendle Square,1000000.0,Flat / Apartment,1228.0,3.0,3.0,3.0,Battersea,London,SW11 4SS,51.475766,-0.165539,3623.0,5.025085926234434,Wandsworth,27388.0,1.280393374735647,1.938190419049036,0.3841639433972149,2,SW11 4SS,Wandsworth,124699
56.0,Rectory Road,2350000.0,House,2511.0,4.0,4.0,4.0,Barnes,London,SW13 0DX,51.473039,-0.240467,1112.0,9.435366966757243,Richmond upon Thames,13431.0,2.033931211412032,2.2589796390662014,1.103949958383884,3,SW13 0DX,Richmond upon Thames,125948
57.0,Thames Quay,2095000.0,Flat / Apartment,1528.0,3.0,3.0,3.0,Chelsea Harbour,London,SW10 0UY,51.47551,-0.180223,431.0,5.764523670679107,Hammersmith and Fulham,24060.0,1.035041456817777,1.984789311524364,0.6417801461489236,2,SW10 0UY,Hammersmith and Fulham,123625
1600.0,Thames Quay,699950.0,Flat / Apartment,645.0,1.0,1.0,1.0,Chelsea Harbour,Chelsea,SW10 0UY,51.47551,-0.180223,2331.0,5.764523670679107,Hammersmith and Fulham,24060.0,1.035041456817777,1.984789311524364,0.6417801461489236,2,SW10 0UY,Hammersmith and Fulham,123625
3391.0,Thames Quay,2250000.0,Flat / Apartment,1515.0,3.0,3.0,3.0, Chelsea,London,SW10 0UY,51.47551,-0.180223,,5.764523670679107,Hammersmith and Fulham,24060.0,1.035041456817777,1.984789311524364,0.6417801461489236,2,SW10 0UY,Hammersmith and Fulham,123625
58.0,Prince Edward Mansions,1250000.0,Flat / Apartment,811.0,2.0,2.0,2.0, Bayswater,London,W2 4WA,51.51198,-0.193412,386.0,5.234301104534683,Westminster,77772.0,1.4223307930119846,0.3724138966567755,0.2846229297886387,2,W2 4WA,Westminster,170651
59.0,Harbut Road,735000.0,Flat / Apartment,969.0,2.0,2.0,2.0,,London,SW11 2RE,51.462477,-0.177185,1494.0,6.681717250842373,Wandsworth,27388.0,0.5019836826359549,2.293069077679412,0.9580257976513814,2,SW11 2RE,Wandsworth,124213
60.0,Chasefield Road,875000.0,House,1132.0,4.0,4.0,4.0,Tooting,London,SW17 8LW,51.429083,-0.161885,28.0,9.488768846008576,Wandsworth,27388.0,0.7951291364929395,0.4638721860426467,2.2541236559997806,3,SW17 8LW,Wandsworth,129885
61.0,Fernwood Avenue,1250000.0,House,2498.0,6.0,6.0,6.0,,London,SW16 1RD,51.42894,-0.13348,1768.0,9.066764246512257,Lambeth,36982.0,2.750418278861386,1.976792827653591,3.451794089095096,3,SW16 1RD,Lambeth,128039
62.0,Havilland Mews,595000.0,Flat / Apartment,643.0,2.0,2.0,2.0,,London,W12 8BG,51.505374,-0.234394,7749.0,8.090167912217693,Hammersmith and Fulham,24060.0,1.2140767300450523,1.0973437253229226,0.3401172488037719,2,W12 8BG,Hammersmith and Fulham,160106
64.0,Gatehill Road,2595000.0,House,4858.0,6.0,6.0,6.0,Northwood,Middlesex,HA6 3QF,51.610893,-0.412107,1.0,23.28254448710096,Hillingdon,28793.0,7.395232677907495,3.961722629325788,6.696845528252605,3,HA6 3QF,Hillingdon,48594
65.0,St. Davids Mews,820000.0,House,974.0,3.0,3.0,3.0,Morgan Street,London,E3 5AZ,51.526918,-0.03574,2692.0,6.022902667542069,Tower Hamlets,35904.0,0.3952442840341799,0.2563123904310336,2.0121679466938924,3,E3 5AZ,Tower Hamlets,29009
